"Reference","Value","Datasheet","Footprint","Qty","DNP","mfr"
"A1","Arduino_Mega2560_R3_Shield","https://docs.arduino.cc/hardware/mega-2560","sparkfun-electromech:Arduino_Mega2560_R3_K3NG","1","",""
"C1,C2,C3","0.1uF","~","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","3","","K104K10X7RF5UH5"
"C4","47uF","~","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1","","  RNU1H470MDN1PH"
"J2,J4","Conn_01x04_Socket","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","2","","  1725672"
"J3","Conn_01x02_Pin","~","Connector_Wire:SolderWire-1.5sqmm_1x02_P6mm_D1.7mm_OD3mm","1","",""
"J6","Conn_01x07_Socket","~","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","1","","1725708"
"J7","Conn_01x06_Socket","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1","","  1725698"
"J14,J15","Conn_01x01_Pin","~","MountingHole:MountingHole_4.3mm_M4_DIN965_Pad","2","",""
"R1,R2","1K","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","2","","  YR1B1K0CC"
"R3,R4","1300","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","2","","  MFR-25FBF52-1K3"
"U1,U2","DRV8251ADDAR","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias","2","",""
